,order_details_id,order_id,pizza_id,quantity
0,2,2,classic_dlx_m,1
1,3,2,five_cheese_l,1
2,4,2,ital_supr_l,1
3,5,2,mexicana_m,1
4,6,2,thai_ckn_l,1
5,7,3,ital_supr_m,1
6,8,3,prsc_argla_l,1
7,10,5,ital_supr_m,1
8,11,6,bbq_ckn_s,1
9,12,6,the_greek_s,1
10,14,8,spinach_supr_s,1
11,26,11,bbq_ckn_l,1
12,27,11,cali_ckn_l,1
13,28,11,cali_ckn_m,1
14,29,11,pepperoni_l,1
15,34,13,mexicana_l,1
16,40,16,four_cheese_l,1
17,41,16,napolitana_s,1
18,42,16,thai_ckn_l,1
19,43,17,bbq_ckn_l,1
20,44,17,calabrese_m,1
21,45,17,five_cheese_l,1
22,46,17,four_cheese_m,1
23,47,17,ital_supr_m,1
24,48,17,ital_veggie_s,1
25,49,17,mediterraneo_m,2
26,50,17,mexicana_l,1
27,51,17,peppr_salami_s,1
28,52,17,spinach_fet_l,1
29,53,18,napolitana_l,1
30,56,20,big_meat_s,1
31,57,20,five_cheese_l,1
32,59,22,five_cheese_l,1
33,60,22,ital_cpcllo_m,1
34,61,22,southw_ckn_l,1
35,62,23,southw_ckn_s,1
36,63,24,bbq_ckn_m,1
37,64,24,ital_cpcllo_m,1
38,65,24,pepperoni_m,1
39,66,24,prsc_argla_s,1
40,67,25,sicilian_m,1
41,68,25,thai_ckn_l,1
42,69,26,classic_dlx_s,1
43,70,26,veggie_veg_l,1
44,71,27,bbq_ckn_l,1
45,72,27,classic_dlx_m,1
46,73,27,spinach_fet_l,1
47,74,28,ckn_alfredo_s,1
48,75,29,green_garden_s,1
49,76,30,thai_ckn_l,1
50,77,31,mexicana_m,1
51,78,31,pepperoni_s,1
52,83,33,bbq_ckn_l,1
53,84,33,green_garden_s,1
54,85,34,the_greek_s,1
55,86,35,green_garden_m,1
56,87,35,pep_msh_pep_l,1
57,88,35,pepperoni_m,1
58,89,35,thai_ckn_l,1
59,96,39,ital_supr_l,1
60,97,40,four_cheese_l,1
61,98,40,southw_ckn_s,1
62,101,42,big_meat_s,1
63,102,42,five_cheese_l,1
64,103,42,mexicana_l,1
65,104,42,peppr_salami_m,1
66,105,43,ckn_alfredo_m,1
67,106,43,ital_supr_m,1
68,107,43,peppr_salami_l,1
69,109,45,four_cheese_l,1
70,110,45,hawaiian_s,1
71,111,45,thai_ckn_m,1
72,112,46,ckn_pesto_l,1
73,113,46,classic_dlx_l,1
74,114,46,thai_ckn_m,1
75,115,47,southw_ckn_l,1
76,116,47,veggie_veg_s,1
77,117,48,ckn_pesto_m,1
78,118,48,green_garden_s,1
79,119,48,prsc_argla_l,1
80,120,48,spicy_ital_l,1
81,122,50,the_greek_xl,1
82,128,53,pep_msh_pep_s,1
83,129,53,spinach_supr_m,1
84,132,55,peppr_salami_s,1
85,133,55,spicy_ital_l,1
86,137,57,classic_dlx_m,1
87,140,59,ital_veggie_s,1
88,141,59,pep_msh_pep_s,1
89,142,59,pepperoni_l,1
90,143,60,ckn_pesto_l,1
91,144,60,four_cheese_m,1
92,145,61,bbq_ckn_m,1
93,146,61,ital_supr_l,1
94,149,63,pep_msh_pep_m,1
95,150,64,big_meat_s,1
96,151,65,pep_msh_pep_s,1
97,152,65,sicilian_s,1
98,153,65,spicy_ital_s,1
99,154,65,spinach_supr_m,1
100,158,68,classic_dlx_m,1
101,159,68,ital_supr_l,1
102,160,68,ital_supr_m,1
103,161,69,bbq_ckn_l,1
104,162,70,ital_veggie_s,1
105,163,70,soppressata_l,1
