,distance_from_home,distance_from_last_transaction,ratio_to_median_purchase_price,repeat_retailer,used_chip,used_pin_number,online_order,fraud
456458,4.368054300707686,1.2713790735990658,0.5657557758327525,1.0,0.0,0.0,1.0,0.0
938299,2.2487738483652016,1.852880917889843,1.7797377055005803,1.0,1.0,0.0,1.0,0.0
608622,4.816733163419826,0.4647734104654918,1.7317674340317244,1.0,0.0,0.0,1.0,0.0
948495,388.6985988553295,1.0129222342717823,0.1248076599916711,1.0,0.0,0.0,1.0,1.0
449930,0.8615141215294525,2.6852813670094604,2.7117469052397056,0.0,0.0,0.0,1.0,0.0
769193,1.1576710223417954,12.3162025948571,0.6420682721011942,0.0,0.0,1.0,0.0,0.0
567453,4.995564880967791,4.066733523907266,0.1611448054546749,1.0,0.0,0.0,1.0,0.0
726318,3.3701096482477557,0.4655333998565936,0.8128340957542335,1.0,1.0,0.0,1.0,0.0
31172,10.138275196946603,0.039725320098305,2.012979525064735,1.0,1.0,0.0,1.0,0.0
727466,0.7992516709516722,1.3237579604050609,2.372855069775302,0.0,0.0,0.0,1.0,0.0
720919,5.475082028320923,4.486321767581527,0.4739605283895368,1.0,1.0,0.0,1.0,0.0
128458,4.639919613600684,0.1892176479611847,0.5474071529616908,1.0,0.0,1.0,0.0,0.0
158399,6.007271498623862,9.569190523200756,4.671825410254479,1.0,0.0,0.0,0.0,0.0
947915,96.3903232767945,0.918164278268269,2.8107492793083577,1.0,0.0,0.0,1.0,0.0
199083,73.07133902911619,0.0797122485431805,0.1480508542335896,1.0,0.0,0.0,1.0,0.0
376494,43.82895175463853,0.2528176623309685,1.211078055473482,1.0,0.0,1.0,0.0,0.0
287356,105.9500346291252,0.1763501979066452,2.314400888874227,1.0,0.0,0.0,0.0,0.0
611268,3.016188421969676,0.0412412875349463,1.2796357806071972,1.0,0.0,0.0,1.0,0.0
390107,3.854259698805655,9.295126970260185,1.3559767706317072,1.0,1.0,0.0,1.0,0.0
692435,82.57912502691008,0.3424205056408659,2.896866306387706,1.0,1.0,0.0,0.0,0.0
453925,3.752303550046772,1.918729752123715,1.0171605653358269,1.0,0.0,0.0,0.0,0.0
278335,22.787313892004736,0.0901192605397501,4.356831994428504,1.0,0.0,1.0,0.0,0.0
853351,33.63346141781668,0.6555070544386131,0.7049373084333441,1.0,1.0,0.0,0.0,0.0
572339,65.28954391585144,24.472872061053064,2.2578456793431774,1.0,1.0,0.0,1.0,0.0
280741,0.8346769785178347,2.7507541561525035,0.9432158254661418,0.0,0.0,0.0,0.0,0.0
982402,32.87699300536603,0.5067364478124561,1.3903966386012423,1.0,1.0,0.0,1.0,0.0
865656,3.923525450898369,0.0738600592078977,1.6050850229572355,1.0,0.0,1.0,0.0,0.0
12991,9.15974284738789,2.3115960180221897,3.094641060400828,1.0,0.0,0.0,1.0,0.0
823235,13.716670158462112,2.502632413814647,1.2913609110290267,1.0,1.0,0.0,0.0,0.0
562194,2.603512487942574,0.5364176432001555,0.8593810229454256,1.0,0.0,0.0,0.0,0.0
133800,0.6286859562399445,0.3110708615486358,1.8876208794155505,0.0,0.0,0.0,1.0,0.0
615591,7.69580143927142,0.4742405337624221,1.813249789806546,1.0,0.0,0.0,1.0,0.0
572971,159.49087876490836,4.943794127810464,2.449611329251742,1.0,0.0,0.0,1.0,1.0
51009,8.905286695528817,5.114032964695341,0.3953841767941827,1.0,1.0,0.0,1.0,0.0
717763,28.923671079020902,0.4914662163908623,0.9867684368420384,1.0,1.0,0.0,0.0,0.0
735196,0.5518960198584352,3.8993525140246126,0.3452446782759195,0.0,1.0,0.0,1.0,0.0
182392,12.586963771656029,0.1976872970911272,1.161338500238047,1.0,1.0,0.0,1.0,0.0
813097,23.34592618938608,1.1100898088519882,4.589875089569626,1.0,0.0,0.0,0.0,0.0
488663,6.13747399797879,4.12975274598659,0.1565612947220871,1.0,0.0,1.0,0.0,0.0
610984,2.6691409554563306,9.711490100994723,6.437828402848016,1.0,1.0,0.0,0.0,0.0
252427,9.854901149156436,0.2420819828270065,0.2980282138483378,1.0,0.0,0.0,1.0,0.0
366448,18.28821249573052,0.4672444972085577,5.753489401649126,1.0,0.0,0.0,1.0,1.0
180007,291.29345606072934,0.5880186121862321,4.612032923828975,1.0,0.0,0.0,0.0,1.0
965796,0.8295927868182792,0.5748573679482123,0.4791727045138724,0.0,0.0,0.0,0.0,0.0
502074,5.7037024911183165,2.4146576935705344,0.8917495965162554,1.0,1.0,0.0,0.0,0.0
283954,14.900057954648256,0.1202640137231368,0.9891608475849596,1.0,0.0,0.0,1.0,0.0
219704,16.6528952424385,17.12202777021229,2.300635752409336,1.0,1.0,0.0,1.0,0.0
185664,1.4126668580756254,2.051424979668737,5.184915292770337,0.0,0.0,0.0,1.0,1.0
201137,1.493988543942239,0.1001573908298987,0.7305516872271398,0.0,0.0,0.0,1.0,0.0
259856,5.72797447647086,12.346829870940702,1.036788175799188,1.0,0.0,0.0,1.0,0.0
